Simulation level:metapop
Simulation finished in 121.94 s
Outputs stored in outputs/counts.csv
         250768863 function calls (217796981 primitive calls) in 123.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    55641    0.130    0.000    1.921    0.000 blocks.py:3258(make_block)
    25245    0.112    0.000    1.742    0.000 concat.py:108(_concat_compat)
    15147    0.065    0.000    1.708    0.000 managers.py:126(__init__)
148178/148172    0.071    0.000    1.619    0.000 {built-in method builtins.all}
   406929    0.192    0.000    1.612    0.000 common.py:678(is_categorical_dtype)
    30294    0.065    0.000    1.610    0.000 concat.py:379(is_uniform_join_units)
    80372    0.232    0.000    1.579    0.000 sortedset.py:504(difference_update)
   743239    0.442    0.000    1.566    0.000 views.py:40(__iter__)
   169955    0.460    0.000    1.556    0.000 views.py:264(__iter__)
  1748/22    0.006    0.000    1.544    0.070 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1682/22    0.006    0.000    1.541    0.070 <frozen importlib._bootstrap>:663(_load_unlocked)
  1526/20    0.004    0.000    1.539    0.077 <frozen importlib._bootstrap_external>:722(exec_module)
  2121/24    0.001    0.000    1.536    0.064 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    30294    0.217    0.000    1.518    0.000 concat.py:33(get_dtype_kinds)
    10098    0.014    0.000    1.488    0.000 managers.py:935(_consolidate_inplace)
    32615    0.443    0.000    1.483    0.000 misc.py:414(add_all_test_properties)
   965749    0.427    0.000    1.457    0.000 sortedset.py:317(__iter__)
    90882    0.101    0.000    1.440    0.000 concat.py:392(<genexpr>)
    10000    0.131    0.000    1.435    0.000 group_manager.py:208(_evolve_productions)
628208/620443    0.241    0.000    1.424    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  2988471    0.928    0.000    1.415    0.000 abstract_agent.py:112(__hash__)
   705534    0.519    0.000    1.390    0.000 common.py:1743(is_extension_array_dtype)
    20797    0.051    0.000    1.368    0.000 functions.py:136(_func)
    71400    0.176    0.000    1.364    0.000 cast.py:1195(construct_1d_arraylike_from_scalar)
    60588    0.157    0.000    1.339    0.000 concat.py:149(is_na)
   797057    0.616    0.000    1.301    0.000 {built-in method builtins.sorted}
     4998    0.051    0.000    1.299    0.000 managers.py:1901(_consolidate)
   909840    0.651    0.000    1.278    0.000 common.py:1886(_is_dtype_type)
  1284093    0.509    0.000    1.233    0.000 state.py:123(__hash__)
    15632    0.102    0.000    1.233    0.000 emulsion_agent.py:180(next_states_from)
15504/10353    0.193    0.000    1.191    0.000 base.py:277(__new__)
    71451    0.164    0.000    1.147    0.000 cast.py:986(maybe_cast_to_datetime)
  1602629    0.749    0.000    1.120    0.000 {method 'extend' of 'list' objects}
    32415    0.046    0.000    1.082    0.000 multi_process_manager.py:188(get_agent_class_for_sublevel)
    71451    0.060    0.000    1.058    0.000 common.py:1684(is_extension_type)
   297304    0.385    0.000    1.053    0.000 _dtype.py:319(_name_get)
   701067    0.482    0.000    1.051    0.000 _collections_abc.py:742(__iter__)
    20797    0.084    0.000    1.051    0.000 functions.py:137(<listcomp>)
   146688    0.185    0.000    1.037    0.000 sortedset.py:341(add)
    32415    0.035    0.000    1.035    0.000 emulsion_model.py:826(get_agent_class_for_level)
   193443    0.098    0.000    1.031    0.000 common.py:357(is_categorical)
   966628    0.380    0.000    1.031    0.000 {built-in method builtins.iter}
   385305    0.480    0.000    1.028    0.000 common.py:255(is_sparse)
    32917    0.034    0.000    1.019    0.000 misc.py:40(load_class)
    81753    0.030    0.000    1.012    0.000 missing.py:48(isna)
   835734    0.603    0.000    1.008    0.000 {method 'format' of 'str' objects}
    81441    0.115    0.000    1.005    0.000 sortedset.py:403(discard)
       77    0.002    0.000    0.985    0.013 __init__.py:1(<module>)
    81753    0.097    0.000    0.982    0.000 missing.py:128(_isna_new)
    33000    0.046    0.000    0.980    0.000 __init__.py:109(import_module)
     5049    0.019    0.000    0.948    0.000 concat.py:489(_get_new_axes)
  1872623    0.522    0.000    0.943    0.000 abstract_agent.py:109(<genexpr>)
  1315213    0.702    0.000    0.932    0.000 sortedlist.py:908(__iter__)
    33000    0.029    0.000    0.918    0.000 <frozen importlib._bootstrap>:994(_gcd_import)
    13429    0.030    0.000    0.904    0.000 misc.py:243(select_random)
  2289366    0.900    0.000    0.900    0.000 abstract_agent.py:147(__lt__)
    14994    0.101    0.000    0.864    0.000 blocks.py:3322(_merge_blocks)
  637/140    0.001    0.000    0.850    0.006 {built-in method builtins.__import__}
    71400    0.117    0.000    0.838    0.000 cast.py:880(maybe_infer_to_datetimelike)
    13429    0.173    0.000    0.833    0.000 misc.py:264(<listcomp>)
   350931    0.242    0.000    0.831    0.000 common.py:225(is_object_dtype)
   587968    0.336    0.000    0.817    0.000 _collections_abc.py:760(__iter__)
33377/33376    0.799    0.000    0.799    0.000 {built-in method builtins.dir}
   165985    0.327    0.000    0.780    0.000 abstract_agent.py:272(change_state)
    81441    0.146    0.000    0.774    0.000 sortedlist.py:422(remove)
1603086/1603077    0.767    0.000    0.769    0.000 {built-in method builtins.hasattr}
    50490    0.191    0.000    0.765    0.000 cast.py:298(maybe_promote)
    20145    0.332    0.000    0.764    0.000 managers.py:216(_rebuild_blknos_and_blklocs)
    15147    0.033    0.000    0.764    0.000 managers.py:654(_consolidate_check)
  1021961    0.410    0.000    0.762    0.000 sortedset.py:194(__contains__)
5161403/4900399    0.663    0.000    0.754    0.000 {built-in method builtins.len}
   149660    0.318    0.000    0.747    0.000 group_manager.py:71(<dictcomp>)
   203490    0.088    0.000    0.747    0.000 common.py:642(is_interval_dtype)
    10200    0.050    0.000    0.740    0.000 managers.py:1837(_multi_blockify)
    15147    0.029    0.000    0.727    0.000 managers.py:655(<listcomp>)
    10664    0.020    0.000    0.708    0.000 functions.py:99(group_and_split_populations)
   705554    0.496    0.000    0.704    0.000 dtypes.py:83(find)
    75582    0.067    0.000    0.698    0.000 blocks.py:347(ftype)
    30753    0.137    0.000    0.684    0.000 missing.py:219(_isna_ndarraylike)
   297304    0.264    0.000    0.668    0.000 numerictypes.py:365(issubdtype)
   178347    0.078    0.000    0.665    0.000 common.py:608(is_period_dtype)
   188088    0.179    0.000    0.659    0.000 dtypes.py:1092(is_dtype)
   147311    0.244    0.000    0.654    0.000 sortedlist.py:250(add)
    10664    0.273    0.000    0.648    0.000 functions.py:20(_group_by_populations)
        4    0.000    0.000    0.599    0.150 __init__.py:6(<module>)
   178347    0.137    0.000    0.587    0.000 dtypes.py:912(is_dtype)
    50490    0.216    0.000    0.581    0.000 algorithms.py:1481(_get_take_nd_function)
     5049    0.010    0.000    0.572    0.000 concat.py:535(_get_concat_axis)
     5049    0.006    0.000    0.555    0.000 concat.py:595(_concat_indexes)
        1    0.000    0.000    0.553    0.553 plot.py:5(<module>)
     5049    0.015    0.000    0.550    0.000 base.py:4310(append)
     5049    0.010    0.000    0.529    0.000 base.py:4339(_concat)
    55641    0.128    0.000    0.519    0.000 blocks.py:120(__init__)
     5100    0.025    0.000    0.518    0.000 metapop_process_manager.py:57(<dictcomp>)
20237/15137    0.027    0.000    0.503    0.000 abstract_agent.py:155(get_model_value)
    50643    0.035    0.000    0.494    0.000 base.py:5707(ensure_index)
20237/15137    0.014    0.000    0.473    0.000 misc.py:295(retrieve_value)
       10    0.000    0.000    0.472    0.047 __init__.py:3(<module>)
  3797980    0.471    0.000    0.471    0.000 {built-in method builtins.issubclass}
  3245845    0.463    0.000    0.463    0.000 {method 'startswith' of 'str' objects}
30350/30347    0.076    0.000    0.463    0.000 basic.py:401(__str__)
377241/377088    0.442    0.000    0.450    0.000 {built-in method numpy.array}
   349464    0.154    0.000    0.435    0.000 sorteddict.py:263(__iter__)
   162882    0.182    0.000    0.429    0.000 {built-in method _bisect.bisect_left}
   261521    0.248    0.000    0.426    0.000 misc.py:349(add_new_property)
    50490    0.050    0.000    0.416    0.000 concat.py:139(dtype)
    80372    0.102    0.000    0.416    0.000 groups.py:148(remove)
     9512    0.024    0.000    0.414    0.000 views.py:302(notify_changed_units)
    75598    0.137    0.000    0.405    0.000 _dtype.py:46(__str__)
     5049    0.007    0.000    0.404    0.000 managers.py:2033(<listcomp>)
    10098    0.262    0.000    0.397    0.000 concat.py:28(get_mgr_concatenation_plan)
   100929    0.062    0.000    0.394    0.000 {method 'any' of 'numpy.ndarray' objects}
3943/3849    0.052    0.000    0.392    0.000 {built-in method builtins.__build_class__}
   131728    0.391    0.000    0.391    0.000 {method 'reduce' of 'numpy.ufunc' objects}
