Simulation level:metapop
Simulation finished in 107.32 s
Outputs stored in outputs/counts.csv
         238129223 function calls (202679393 primitive calls) in 110.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      255    0.014    0.000    1.559    0.006 concat.py:252(<listcomp>)
    25500    0.074    0.000    1.545    0.000 concat.py:177(get_reindexed_values)
  637/140    0.001    0.000    1.543    0.011 {built-in method builtins.__import__}
    79999    0.221    0.000    1.525    0.000 sortedset.py:504(difference_update)
   985972    0.453    0.000    1.507    0.000 sortedset.py:317(__iter__)
   170543    0.438    0.000    1.506    0.000 views.py:264(__iter__)
  4272575    1.028    0.000    1.416    0.000 generic.py:7(_check)
  2978025    0.930    0.000    1.413    0.000 abstract_agent.py:112(__hash__)
    25500    0.215    0.000    1.404    0.000 algorithms.py:1608(take_nd)
    10000    0.127    0.000    1.360    0.000 group_manager.py:208(_evolve_productions)
    71400    0.172    0.000    1.327    0.000 cast.py:1195(construct_1d_arraylike_from_scalar)
    32762    0.432    0.000    1.324    0.000 misc.py:414(add_all_test_properties)
    20798    0.047    0.000    1.318    0.000 functions.py:136(_func)
    15542    0.097    0.000    1.265    0.000 emulsion_agent.py:180(next_states_from)
   316965    0.119    0.000    1.240    0.000 common.py:678(is_categorical_dtype)
  1301354    0.497    0.000    1.203    0.000 state.py:123(__hash__)
15504/10353    0.185    0.000    1.167    0.000 base.py:277(__new__)
    71451    0.159    0.000    1.111    0.000 cast.py:986(maybe_cast_to_datetime)
     1527    0.028    0.000    1.088    0.001 <frozen importlib._bootstrap_external>:793(get_code)
   743030    0.492    0.000    1.083    0.000 _collections_abc.py:742(__iter__)
  1600071    0.733    0.000    1.079    0.000 {method 'extend' of 'list' objects}
    32562    0.047    0.000    1.076    0.000 multi_process_manager.py:188(get_agent_class_for_sublevel)
   790780    0.552    0.000    1.059    0.000 {built-in method builtins.sorted}
   986851    0.389    0.000    1.054    0.000 {built-in method builtins.iter}
    32562    0.033    0.000    1.029    0.000 emulsion_model.py:826(get_agent_class_for_level)
    20798    0.073    0.000    1.028    0.000 functions.py:137(<listcomp>)
    33064    0.034    0.000    1.025    0.000 misc.py:40(load_class)
    71451    0.063    0.000    1.025    0.000 common.py:1684(is_extension_type)
   147261    0.183    0.000    1.012    0.000 sortedset.py:341(add)
    33147    0.044    0.000    0.988    0.000 __init__.py:109(import_module)
  1346812    0.746    0.000    0.967    0.000 sortedlist.py:908(__iter__)
    80817    0.114    0.000    0.963    0.000 sortedset.py:403(discard)
   654942    0.480    0.000    0.956    0.000 common.py:1886(_is_dtype_type)
  1880615    0.516    0.000    0.933    0.000 abstract_agent.py:109(<genexpr>)
    33147    0.029    0.000    0.929    0.000 <frozen importlib._bootstrap>:994(_gcd_import)
   470628    0.335    0.000    0.886    0.000 common.py:1743(is_extension_array_dtype)
    13236    0.028    0.000    0.873    0.000 misc.py:243(select_random)
  2289393    0.864    0.000    0.864    0.000 abstract_agent.py:147(__lt__)
        4    0.001    0.000    0.834    0.208 __init__.py:12(<module>)
   158457    0.077    0.000    0.833    0.000 common.py:357(is_categorical)
   160448    0.344    0.000    0.813    0.000 group_manager.py:71(<dictcomp>)
    71400    0.116    0.000    0.808    0.000 cast.py:880(maybe_infer_to_datetimelike)
    13236    0.164    0.000    0.808    0.000 misc.py:264(<listcomp>)
   589077    0.328    0.000    0.805    0.000 _collections_abc.py:760(__iter__)
        1    0.000    0.000    0.794    0.794 state_machines.py:6(<module>)
33520/33519    0.775    0.000    0.775    0.000 {built-in method builtins.dir}
     1529    0.337    0.000    0.754    0.000 <frozen importlib._bootstrap_external>:914(get_data)
   166117    0.315    0.000    0.746    0.000 abstract_agent.py:272(change_state)
  1017695    0.388    0.000    0.743    0.000 sortedset.py:194(__contains__)
    10200    0.046    0.000    0.741    0.000 managers.py:1837(_multi_blockify)
    80817    0.142    0.000    0.734    0.000 sortedlist.py:422(remove)
        1    0.000    0.000    0.727    0.727 plot.py:5(<module>)
      255    0.122    0.000    0.725    0.003 concat.py:273(get_empty_dtype_and_na)
    10499    0.019    0.000    0.687    0.000 functions.py:99(group_and_split_populations)
   295953    0.186    0.000    0.674    0.000 common.py:225(is_object_dtype)
        1    0.000    0.000    0.669    0.669 emulsion_model.py:6(<module>)
      306    0.075    0.000    0.642    0.002 concat.py:33(get_dtype_kinds)
    15657    0.034    0.000    0.639    0.000 blocks.py:3258(make_block)
   147880    0.233    0.000    0.631    0.000 sortedlist.py:250(add)
    10499    0.261    0.000    0.631    0.000 functions.py:20(_group_by_populations)
1407773/1407764    0.614    0.000    0.615    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.606    0.606 __init__.py:54(<module>)
   255357    0.274    0.000    0.593    0.000 common.py:255(is_sparse)
      255    0.002    0.000    0.584    0.002 concat.py:108(_concat_compat)
8243/8237    0.010    0.000    0.569    0.000 {built-in method builtins.all}
      306    0.001    0.000    0.562    0.002 concat.py:379(is_uniform_join_units)
    30906    0.029    0.000    0.541    0.000 concat.py:392(<genexpr>)
4160542/4009491    0.487    0.000    0.539    0.000 {built-in method builtins.len}
   777200    0.434    0.000    0.538    0.000 {method 'format' of 'str' objects}
        5    0.000    0.000    0.518    0.104 __init__.py:4(<module>)
    30600    0.051    0.000    0.512    0.000 concat.py:149(is_na)
       10    0.000    0.000    0.505    0.050 __init__.py:3(<module>)
       10    0.000    0.000    0.497    0.050 __init__.py:2(<module>)
     5151    0.020    0.000    0.491    0.000 managers.py:126(__init__)
   143514    0.057    0.000    0.487    0.000 common.py:642(is_interval_dtype)
3943/3849    0.073    0.000    0.485    0.000 {built-in method builtins.__build_class__}
    25653    0.025    0.000    0.467    0.000 base.py:5707(ensure_index)
   360840    0.158    0.000    0.459    0.000 sorteddict.py:263(__iter__)
   128367    0.051    0.000    0.456    0.000 common.py:608(is_period_dtype)
    66759    0.022    0.000    0.454    0.000 missing.py:48(isna)
   470648    0.305    0.000    0.444    0.000 dtypes.py:83(find)
  3209335    0.440    0.000    0.440    0.000 {method 'startswith' of 'str' objects}
30351/30348    0.069    0.000    0.434    0.000 basic.py:401(__str__)
    66759    0.056    0.000    0.433    0.000 missing.py:128(_isna_new)
   128112    0.105    0.000    0.430    0.000 dtypes.py:1092(is_dtype)
     1529    0.416    0.000    0.416    0.000 {method 'read' of '_io.FileIO' objects}
   128367    0.087    0.000    0.405    0.000 dtypes.py:912(is_dtype)
   262697    0.236    0.000    0.404    0.000 misc.py:349(add_new_property)
